yield_range,count,positive_probability,average_return,std_return,avg_yield
0-1%,2565,83.31384015594541,0.3391211804819476,1.6388912271067573,0.5781859649122807
1-2%,1787,94.0682708449916,2.0085413406455412,1.8529121126898382,1.3976907106883045
2-3%,623,97.91332263242376,3.399788748729636,1.5595692585608487,2.5708714285714285
3-4%,693,100.0,4.064437559509794,1.5108271239781519,3.316590764790765
4-5%,1319,100.0,5.464098971673495,1.2133933213168728,4.514014480667172
5%+,69,100.0,5.813282640490951,0.6879674700313353,5.089049275362319
当前预测,0,100.0,4.064437559509794,0.0,3.6039
